GEOID,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard(H),Expos(E),Vulner(V),Risk=HEV,HEV*100
36061,2.039622085,-0.217816365,168.8,55.1,31,-0.092681104,65.2179563,247467.6591,2962633,0.007197263,0,0.273965784,1,0.20366713,0.055797825,5.5797825
36005,1.749553139,0.078108179,123.3,59.3,27.8,-0.029259405,58.65128331,84536.59728,2372677,0.00083247,0,0.237553915,0.635453496,0.383835248,0.057941645,5.7941645
36081,1.985659037,-0.096759888,103.1,56.1,29.8,-0.051862746,57.97478557,54325.69187,3925400.333,0.014761599,0,0.250778118,0.63031374,0.41329686,0.065329377,6.5329377
36047,2.126466474,0.046546431,103.9,54.2,32.1,-0.038709778,57.43077407,95351.4285,4478789,0.006751531,0,0.273511329,0.715149577,0.455534324,0.089103202,8.9103202
06075,1.329085465,-1.414939925,40,54.6,13.8,-0.421787824,52.59311729,28960.13366,669390.3333,0.001750154,0.000866632,0.062776282,0.439532699,0.210376509,0.005804757,0.5804757
25025,2.046512258,-0.172899856,115.6,41.6,30,-0.099565077,51.54734756,33058.33218,999363.6667,0.079477969,0,0.223397509,0.484817855,0.266744137,0.028890284,2.8890284
36085,2.01268119,2.683347287,372.4,56.8,35.3,0.897380324,51.34493178,25444.09103,1065133,0.00904574,0,0.504133325,0.439706656,0.288834381,0.064026142,6.4026142
34017,1.935839693,0.317492198,140.1,57.9,28.8,-0.003939536,51.13678661,39661.58087,1217110,0.045399127,0.004755778,0.271299387,0.487571648,0.27073555,0.035812327,3.5812327
51013,2.197940471,1.789892964,198,58.2,40.3,0.23321977,47.18571086,19268.85322,224821.6667,1.31E-05,0,0.408416336,0.369263753,0.194307692,0.029304194,2.9304194
11001,2.09710202,0.157592324,120.4,57.6,35.5,-0.047392788,46.60651994,26551.06653,632781.6667,0.000989787,2.94E-05,0.297454347,0.39173812,0.275084623,0.032054017,3.2054017
51510,2.086825704,1.037514977,119.7,57.9,40.7,0.066771483,46.01195103,21906.56438,131448,0.004286894,1.07E-05,0.340497673,0.364964569,0.174128998,0.021638939,2.1638939
29510,1.889846989,0.014969426,96.9,46.5,31.7,-0.169740754,43.48574266,17466.02628,364714,0,0,0.222732505,0.344663324,0.307001139,0.023567779,2.3567779
42101,2.284825179,-0.027839358,121.8,50.2,34.3,-0.046778769,43.38079287,20714.38788,1642680,0.004339333,3.21E-05,0.291306521,0.391728743,0.317945237,0.036281728,3.6281728
51683,2.187717382,-0.20059696,95.6,58.8,43.8,-0.08728319,42.33324973,19369.19418,130504,0,0,0.316264066,0.332837151,0.327543902,0.034478722,3.4478722
51610,2.194450099,0.10826216,116,60.9,46.22222222,-0.058343252,40.68699989,89071.92181,4050,0,0,0.345605808,0.444831292,0.300350917,0.046174832,4.6174832
24510,2.18339735,-0.488132486,75,51.2,33.7,-0.108601435,40.03108036,16455.2061,639645,0.001245428,0.000460064,0.252418397,0.328202923,0.301727964,0.024996489,2.4996489
34013,1.923287325,1.282529995,218.7,59.2,36.6,0.179709543,35.43374934,13418.43032,1025728.333,0.000203201,0.00077034,0.358327816,0.302480835,0.254073963,0.02753839,2.753839
51710,1.789443036,0.09080742,120,38.7,38.5,-0.079870082,34.76374177,10020.87498,257893,0.01046815,3.74E-05,0.221151312,0.271973358,0.297212804,0.017876537,1.7876537
51685,2.141159549,-0.119391037,103.3,61.6,43.55555556,-0.078522878,34.61888854,28934.9916,5786.666667,0,0,0.322233976,0.292910498,0.327543902,0.030915465,3.0915465
34039,1.851718282,0.026200524,133.3,61.2,35.5,-0.05269791,34.42944249,10827.55362,701121.3333,0.000786586,0.002080987,0.278282949,0.281506523,0.260654731,0.020419292,2.0419292
08031,1.949121811,0.132768106,71.7,74,29.3,-0.182954748,33.54807581,14903.34067,1027091,0,0,0.28948432,0.291715797,0.269961376,0.022797469,2.2797469
51540,2.30674508,2.162839264,372.3,53.2,41.1,0.475945361,33.30442293,8475.428764,34013.33333,0,0,0.510437025,0.247289648,0.268814797,0.033931361,3.3931361
27123,2.041688966,0.472967824,95.6,60.1,29.5,-0.208484966,32.57665783,8945.034541,702099.6667,0,0,0.283623928,0.26394829,0.264884915,0.019829828,1.9829828
17031,1.944690425,0.172349757,98.2,62.6,23.4,-0.175668612,32.45752135,11041.42318,5758228.333,0,0,0.250809379,0.424738878,0.55961582,0.059615031,5.9615031
55079,2.046968121,1.468004696,209.3,62.2,24.3,0.080691064,31.07414436,8661.116089,1203001.667,0,0,0.358239841,0.268638492,0.316518064,0.030460752,3.0460752
13135,1.326803725,0.295047029,96.1,44.8,43.9,-0.060895789,30.67329761,7300.976042,2594441.333,0,0,0.198265783,0.306795289,0.371482654,0.022596178,2.2596178
12103,1.441535079,0.044833168,104.8,38.8,84.5,-0.188307107,30.47166496,8082.520843,1099947,0.074470038,0.026207601,0.311352449,0.305708714,0.305808881,0.029107855,2.9107855
51059,1.926879114,0.040062471,113.8,61.7,40.9,-0.060550584,30.42831769,8375.181278,2252787.667,0,0,0.298492339,0.296396704,0.300350917,0.02657269,2.657269
51600,2.082397481,0.419185578,134.7,60,43.88888889,-0.013354338,30.35343736,22542.85635,4438.333333,0.004339333,1.34E-05,0.339930367,0.253568245,0.300350917,0.025888911,2.5888911
36059,1.78800694,0.063258053,114.2,51.9,30.1,-0.043767914,30.30435047,9096.086629,1819157.333,0.031456889,0,0.226829684,0.297545356,0.271278098,0.018309134,1.8309134
51700,1.799479529,2.7470621,435.2,47.3,39,0.839849664,30.16911874,8310.170207,292262.6667,0.003008692,5.35E-06,0.503806548,0.234660671,0.288358488,0.034090774,3.4090774
34003,1.805051764,3.016967114,417.1,61.5,34.2,1.129359894,29.99668612,8827.024656,1263942.667,0.020418464,0.011183301,0.534023906,0.277658451,0.232052253,0.034407838,3.4407838
13089,1.516764415,2.244169166,245.7,38.4,45.2,0.281013622,29.1196712,6878.721715,1256015.667,0,0,0.330564067,0.253478298,0.319191886,0.026745349,2.6745349
51650,1.811293908,0.598992407,134.5,44.2,36.4,-0.029302165,27.59655601,6826.090874,199542.6667,0.005145584,1.07E-05,0.252089189,0.212178705,0.277634057,0.014850079,1.4850079
51760,1.650691605,2.360752973,371.5,55.9,33.8,0.582633739,27.42804879,7119.747884,177010.3333,0,0,0.429176922,0.20851172,0.261651092,0.023414742,2.3414742
17043,2.074518411,0.144497088,89.1,61.6,26.4,-0.179199289,27.32842918,6505.889307,1358955.667,0,0,0.26805324,0.243583987,0.288538086,0.018839655,1.8839655
51840,1.764317858,0.072689783,103.8,65.1,28.9,-0.092730781,26.53119012,5554.430304,17950,0,0,0.25101045,0.194466447,0.305365147,0.014905823,1.4905823
06059,1.280089818,0.343590878,112.2,114.9,45.1,-0.149110774,26.24268195,9459.774358,4048009.333,0.108640648,0.012635712,0.382818062,0.380203642,0.522066364,0.075986144,7.5986144
13067,1.330544374,0.673160379,117,45,47.4,-0.035328268,26.01703888,5472.073153,1284250.333,0,0,0.22763645,0.230266803,0.315448695,0.016534911,1.6534911
48113,1.715965225,2.126012687,308.7,31.2,36.2,0.355037431,25.63266576,6507.493507,3750032,0,0,0.352630984,0.306441989,0.445127332,0.048100878,4.8100878
34023,1.697866939,2.235705682,372.9,59.5,35.7,0.647063935,25.39541254,6156.958505,1293225.333,0.002674393,0.004563193,0.445959079,0.230758762,0.315528603,0.032470722,3.2470722
39035,1.883829958,0.161658857,104.9,65.5,26.1,-0.160868584,25.17869608,6240.733056,1622731.667,0,0,0.26119642,0.236418838,0.310815362,0.019193394,1.9193394
51660,1.912743709,-0.474721759,80.3,59.3,43.5,-0.143246864,24.62948852,5613.365884,73691,0,0,0.272023579,0.183121881,0.346141816,0.017242525,1.7242525
26163,1.968707594,-0.00881997,95.5,70.9,27.4,-0.15970575,24.1006208,5753.10501,2085947.667,0,0,0.279261126,0.242505009,0.377137829,0.025540612,2.5540612
42045,2.128352012,-0.061846907,128.6,54.2,35.6,-0.04935546,24.00368256,5805.926287,692558.6667,0.001737044,1.60E-05,0.288386487,0.1992383,0.268309601,0.015416435,1.5416435
13063,1.763519163,0.295515356,134.6,31.8,47.9,-0.070445828,23.93163472,4615.745198,478433.3333,0,0,0.23962013,0.18908894,0.327832899,0.01485395,1.485395
51740,1.779857333,0.225561665,133.8,43.4,41.3,-0.060987097,23.13754584,5744.071092,83428,0.00284482,8.02E-06,0.248567855,0.174605182,0.281909302,0.012235212,1.2235212
18097,1.795652406,-0.265670639,74.4,53.7,30.6,-0.164362759,23.03223623,4969.560806,1234976.667,0,0,0.210979042,0.207105897,0.32903119,0.014377019,1.4377019
37119,1.561304439,0.22622717,124,46.6,44.2,-0.07322713,22.83175651,4790.180165,1706633.667,0,0,0.237505924,0.220106435,0.348539443,0.018220451,1.8220451
44001,2.125856019,0.012627165,166.7,40,42.6,-0.152998989,22.37463495,4932.27484,39213,0.001356861,2.67E-06,0.287309856,0.165774665,0.192482762,0.009167703,0.9167703
51678,1.526333766,-0.017710777,94.2,73.3,39,-0.068619564,22.21249978,4335.572441,4018.333333,0,0,0.268359857,0.161846622,0.272207992,0.011822847,1.1822847
13117,1.295349001,-0.382209976,91.8,46,41.6,-0.138987968,22.0267303,4370.364613,828317,0,0,0.169570304,0.186345418,0.29047594,0.009178647,0.9178647
48439,1.520028383,-0.595045732,95,33.8,33.7,-0.249050379,21.89949226,4768.316006,2780352,0,0,0.134077784,0.247107045,0.449590793,0.014895647,1.4895647
13121,1.503818809,0.687512684,112.6,40.6,46,-0.023328219,21.68867005,4857.393262,1699083.667,0,0,0.231564333,0.212064249,0.297136123,0.01459132,1.459132
51770,1.839585104,0.79450216,131.8,56.6,30.2,0.029584618,21.67643091,4362.693665,60593,0,0,0.275024987,0.159943089,0.27363746,0.012036859,1.2036859
17097,1.719072493,0.17174434,86.7,67.3,21.2,-0.176181762,21.30059538,4220.179778,1480309.333,0,0,0.226742049,0.201380648,0.287840909,0.013143236,1.3143236
39049,2.022586448,0.146772461,84.2,55.3,32,-0.131309739,21.16237292,4748.670804,1660171.667,0,0,0.261424903,0.207000438,0.354533806,0.019185622,1.9185622
34007,1.854840146,0.061067481,128.4,52.9,36.4,-0.047900086,21.09664792,5522.699234,689974.6667,0.00508659,0.004969761,0.259955377,0.182229006,0.29337527,0.0138976,1.38976
27053,1.722806391,0.117902078,85.2,70.5,30.6,-0.257583727,20.85564951,4690.948797,1514987.333,0,0,0.260774797,0.200236519,0.299439896,0.015635745,1.5635745
51630,1.665695051,-0.022917845,111.1,66.3,44.2,-0.081432681,20.75521994,5201.77366,10407,1.97E-05,0,0.287115338,0.153528712,0.285305591,0.012576398,1.2576398
51670,1.894384881,1.20134448,223.1,54.1,39.7,0.099686864,20.13053315,4160.199185,9263.333333,0.000131098,0,0.349264257,0.147306913,0.281390533,0.014477273,1.4477273
